ID,Name,From,To,Height,Weight,Birth Date,Age,Nationality,Position,Shoots,College,Experience,Draft Year,Draft Round,Draft Pick,Draft Team,URL
950,Tom Copa,1991-92,1991-92,208.0,124.0,1964-10-30,61.0,Minnesota,Center,Right,Marquette,1,,,,,c/copato01.html
951,Chris Copeland,2012-13,2015-16,206.0,108.0,1984-03-17,42.0,New Jersey,Small Forward and Power Forward,Right,Colorado,4,,,,,c/copelch01.html
952,Hollis Copeland,1979-80,1981-82,198.0,81.0,1955-12-20,70.0,New Jersey,Small Forward,Right,Rutgers University,2,1978.0,3.0,2.0,Denver Nuggets,c/copelho01.html
953,Lanard Copeland,1989-90,1991-92,198.0,86.0,1965-07-16,61.0,Georgia,Shooting Guard,Right,Georgia State University,2,,,,,c/copella01.html
954,Tyrone Corbin,1985-86,2000-01,198.0,95.0,1962-12-31,63.0,South Carolina,Small Forward,Right,DePaul,16,1985.0,2.0,11.0,San Antonio Spurs,c/corbity01.html
955,Chris Corchiani,1991-92,1993-94,183.0,83.0,1968-03-28,58.0,Florida,Point Guard,Right,NC State,3,1991.0,2.0,9.0,Orlando Magic,c/corchch01.html
957,Ray Corley,1949-50,1952-53,183.0,81.0,1928-01-14,98.0,New York,Guard,Right,Georgetown,3,1949.0,5.0,,Providence Steamrollers,c/corlera01.html
958,Petr Cornelie,2021-22,2021-22,211.0,99.0,1995-07-26,30.0,France,Power Forward,Right,,1,2016.0,2.0,23.0,Denver Nuggets,c/cornepe01.html
959,Dave Corzine,1978-79,1990-91,211.0,113.0,1956-04-25,70.0,Illinois,Center,Right,DePaul,13,1978.0,1.0,18.0,Washington Bullets,c/corzida01.html
960,Larry Costello,1954-55,1967-68,185.0,84.0,1931-07-02,95.0,New York,Point Guard,Right,Niagara University,12,1954.0,2.0,3.0,Philadelphia Warriors,c/costela01.html
961,Matt Costello,2017-18,2017-18,208.0,108.0,1993-08-05,32.0,Michigan,Center,Right,Michigan State,1,,,,,c/costema01.html
962,Bryce Cotton,2014-15,2015-16,185.0,74.0,1992-08-11,33.0,Arizona,Point Guard,Right,Providence,2,,,,,c/cottobr01.html
963,Jack Cotton,1949-50,1949-50,201.0,90.0,1924-10-25,101.0,Montana,Forward/Center,Right,Wyoming,1,,,,,c/cottoja01.html
964,James Cotton,1997-98,1998-99,196.0,99.0,1975-12-14,50.0,California,Shooting Guard,Left,Cal State Long Beach,2,1997.0,2.0,4.0,Denver Nuggets,c/cottoja02.html
965,John Coughran,1979-80,1979-80,201.0,102.0,1951-09-12,74.0,California,Small Forward,Right,California,1,1973.0,5.0,5.0,Cleveland Cavaliers,c/coughjo01.html
966,Bilal Coulibaly,2023-24,2025-26,201.0,88.0,2004-07-26,21.0,France,Small Forward and Shooting Guard,Right,,3,2023.0,1.0,7.0,Indiana Pacers,c/coulibi01.html
967,Ricky Council IV,2023-24,2024-25,198.0,93.0,2001-08-03,24.0,North Carolina,Shooting Guard and Small Forward,Right,Wichita State,2,,,,,c/councri01.html
968,Mel Counts,1964-65,1975-76,213.0,104.0,1941-10-16,84.0,Oregon,Center and Power Forward,Right,Oregon State,12,1964.0,1.0,9.0,Boston Celtics,c/countme01.html
969,Steve Courtin,1964-65,1964-65,185.0,85.0,1942-09-21,83.0,Pennsylvania,Shooting Guard,Right,Saint Joseph's,1,1964.0,3.0,8.0,Cincinnati Royals,c/courtst01.html
970,Joe Courtney,1992-93,1996-97,203.0,106.0,1969-10-17,56.0,Mississippi,Power Forward,Right,Mississippi State,4,,,,,c/courtjo01.html
971,Marcus Cousin,2010-11,2010-11,211.0,111.0,1986-12-18,39.0,Maryland,Center,Right,Seton Hall,1,,,,,c/cousima01.html
972,DeMarcus Cousins,2010-11,2021-22,208.0,122.0,1990-08-13,35.0,Alabama,Center,Right,Kentucky,11,2010.0,1.0,5.0,Sacramento Kings,c/couside01.html
973,Bob Cousy,1950-51,1969-70,185.0,79.0,1928-08-09,97.0,New York,Point Guard,Right,Holy Cross,14,1950.0,1.0,4.0,Tri-Cities Blackhawks,c/cousybo01.html
974,Robert Covington,2013-14,2023-24,201.0,94.0,1990-12-14,35.0,Illinois,"Small Forward, Power Forward, and Center",Right,Tennessee State,11,,,,,c/covinro01.html
975,Cedric Coward,2025-26,2025-26,196.0,93.0,2003-09-11,22.0,California,Shooting Guard,Right,Willamette University,1,2025.0,1.0,11.0,Portland Trail Blazers,c/cowarce01.html
976,Dave Cowens,1970-71,1982-83,206.0,104.0,1948-10-25,77.0,Kentucky,Center and Power Forward,Left,Florida State,11,1970.0,1.0,4.0,Boston Celtics,c/cowenda01.html
977,Chubby Cox,1982-83,1982-83,188.0,81.0,1955-12-29,70.0,Pennsylvania,Shooting Guard,Right,Villanova,1,1978.0,8.0,7.0,Chicago Bulls,c/coxch01.html
978,Johnny Cox,1962-63,1962-63,193.0,81.0,1936-11-01,89.0,Kentucky,Shooting Guard,Right,Kentucky,1,1958.0,4.0,4.0,New York Knicks,c/coxjo01.html
979,Wesley Cox,1977-78,1978-79,198.0,97.0,1955-01-27,71.0,Kentucky,Small Forward,Right,Louisville,2,1977.0,1.0,18.0,Golden State Warriors,c/coxwe01.html
980,Allen Crabbe,2013-14,2019-20,196.0,96.0,1992-04-09,34.0,California,Shooting Guard and Small Forward,Right,California,7,2013.0,2.0,1.0,Cleveland Cavaliers,c/crabbal01.html
981,Torrey Craig,2017-18,2024-25,196.0,100.0,1990-12-19,35.0,South Carolina,Small Forward and Power Forward,Right,USC Upstate,8,,,,,c/craigto01.html
982,Chris Crawford,1997-98,2003-04,206.0,106.0,1975-05-13,51.0,Michigan,Power Forward,Right,Marquette,7,1997.0,2.0,22.0,Atlanta Hawks,c/crawfch01.html
983,Freddie Crawford,1966-67,1970-71,193.0,85.0,1941-12-23,84.0,New York,Shooting Guard,Right,St. Bonaventure,5,1963.0,8.0,1.0,New York Knicks,c/crawffr01.html
984,Isaiah Crawford,2024-25,2025-26,198.0,99.0,2001-11-01,24.0,Texas,Small Forward,Right,Louisiana Tech,2,,,,,c/crawfis01.html
985,Jamal Crawford,2000-01,2019-20,196.0,83.0,1980-03-20,46.0,Washington,Shooting Guard and Point Guard,Right,Michigan,20,2000.0,1.0,8.0,Cleveland Cavaliers,c/crawfja01.html
986,Joe Crawford,2008-09,2008-09,196.0,95.0,1986-06-17,40.0,Michigan,Small Forward,Right,Kentucky,1,2008.0,2.0,28.0,Los Angeles Lakers,c/crawfjo01.html
987,Jordan Crawford,2010-11,2017-18,193.0,88.0,1988-10-23,37.0,Michigan,Shooting Guard and Point Guard,Right,Indiana,6,2010.0,1.0,27.0,New Jersey Nets,c/crawfjo02.html
988,Mitch Creek,2018-19,2018-19,198.0,102.0,1992-04-27,34.0,Australia,Small Forward,Right,,1,,,,,c/creekmi01.html
989,Jim Creighton,1975-76,1975-76,203.0,90.0,1950-04-18,76.0,Montana,Small Forward,Right,Colorado,1,1972.0,3.0,10.0,Seattle SuperSonics,c/creigji01.html
990,Ron Crevier,1985-86,1985-86,213.0,106.0,1958-04-14,68.0,Quebec,Center,Right,Boston College,1,1983.0,4.0,5.0,Chicago Bulls,c/creviro01.html
992,Joe Crispin,2001-02,2001-02,183.0,83.0,1979-07-18,46.0,New Jersey,Point Guard,Right,Penn State,1,,,,,c/crispjo01.html
993,Charlie Criss,1977-78,1984-85,173.0,74.0,1948-11-06,77.0,New York,Point Guard,Right,New Mexico State,8,,,,,c/crissch01.html
995,Winston Crite,1987-88,1988-89,201.0,105.0,1965-06-20,61.0,California,Small Forward,Right,Texas A&M,2,1987.0,3.0,7.0,Phoenix Suns,c/critewi01.html
996,Javaris Crittenton,2007-08,2008-09,196.0,90.0,1987-12-31,38.0,Georgia,Shooting Guard and Point Guard,Right,Georgia Tech,2,2007.0,1.0,19.0,Los Angeles Lakers,c/crittja01.html
997,Dillard Crocker,1949-50,1952-53,193.0,92.0,1925-01-19,101.0,Tennessee,Power Forward,Right,Western Michigan,3,,,,,c/crockdi01.html
999,Geoff Crompton,1978-79,1983-84,211.0,127.0,1955-07-04,71.0,North Carolina,Center,Right,UNC,5,1978.0,4.0,4.0,Kansas City Kings,c/crompge01.html
1000,Terry Crosby,1979-80,1979-80,193.0,88.0,1957-01-04,69.0,Ohio,Point Guard,Right,Tennessee,1,1979.0,3.0,18.0,Kansas City Kings,c/crosbte01.html
1001,Austin Croshere,1997-98,2008-09,206.0,106.0,1975-05-01,51.0,California,Power Forward,Right,Providence,12,1997.0,1.0,12.0,Indiana Pacers,c/croshau01.html
1002,Jeff Cross,1985-86,1985-86,208.0,108.0,1961-09-01,64.0,Illinois,Power Forward,Right,University of Maine,1,1984.0,3.0,14.0,Dallas Mavericks,c/crossje01.html
1003,Pete Cross,1970-71,1972-73,206.0,104.0,1948-03-28,78.0,Germany,Center,Right,San Francisco,3,1970.0,2.0,6.0,Seattle SuperSonics,c/crosspe01.html
1004,Russell Cross,1983-84,1983-84,208.0,97.0,1961-09-05,64.0,Illinois,Center,Right,Purdue,1,1983.0,1.0,6.0,Golden State Warriors,c/crossru01.html
1005,Chink Crossin,1949-50,1949-50,185.0,74.0,1923-07-04,103.0,Pennsylvania,Guard,Right,Penn,1,1947.0,1.0,6.0,Philadelphia Warriors,c/crossch01.html
1006,John Crotty,1992-93,2002-03,185.0,83.0,1969-07-15,57.0,New Jersey,Point Guard,Left,Virginia,11,,,,,c/crottjo01.html
1008,Mark Crow,1977-78,1977-78,201.0,95.0,1954-10-22,71.0,California,Small Forward,Right,Duke,1,1977.0,6.0,1.0,New Jersey Nets,c/crowma01.html
1009,Corey Crowder,1991-92,1994-95,196.0,97.0,1969-04-13,57.0,Georgia,Small Forward,Right,Kentucky Wesleyan College,2,,,,,c/crowdco01.html
1010,Jae Crowder,2012-13,2024-25,198.0,106.0,1990-07-06,36.0,Georgia,Small Forward and Power Forward,Right,Marquette,13,2012.0,2.0,4.0,Cleveland Cavaliers,c/crowdja01.html
1011,Jalen Crutcher,2023-24,2023-24,185.0,79.0,1999-07-18,26.0,Tennessee,Point Guard,Right,Dayton,1,,,,,c/crutcja01.html
1012,LJ Cryer,2025-26,2025-26,185.0,91.0,2001-10-09,24.0,Louisiana,Point Guard,Right,Baylor,1,,,,,c/cryerlj01.html
1014,Cui Yongxi,2024-25,2024-25,196.0,86.0,2003-05-28,23.0,China,Shooting Guard,Right,,1,,,,,c/cuiyo01.html
1015,Jarrett Culver,2019-20,2022-23,198.0,88.0,1999-02-20,27.0,Texas,Shooting Guard and Small Forward,Right,Texas Tech,4,2019.0,1.0,6.0,Phoenix Suns,c/culveja01.html
1016,Jarron Cumberland,2021-22,2021-22,196.0,92.0,1997-09-22,28.0,Ohio,Shooting Guard,Right,Cincinnati,1,,,,,c/cumbeja01.html
1017,Pat Cummings,1979-80,1990-91,206.0,104.0,1956-07-11,70.0,Pennsylvania,Power Forward and Center,Right,Cincinnati,12,1978.0,3.0,15.0,Milwaukee Bucks,c/cummipa01.html
1018,Terry Cummings,1982-83,1999-00,206.0,99.0,1961-03-15,65.0,Illinois,Power Forward and Small Forward,Right,DePaul,18,1982.0,1.0,2.0,San Diego Clippers,c/cummite01.html
1019,Vonteego Cummings,1999-00,2001-02,190.0,83.0,1976-02-29,50.0,Georgia,Point Guard,Right,Pitt,3,1999.0,1.0,26.0,Indiana Pacers,c/cummivo01.html
1020,Billy Cunningham,1965-66,1975-76,198.0,95.0,1943-06-03,83.0,New York,Small Forward and Power Forward,Left,UNC,9,1965.0,1.0,7.0,Philadelphia 76ers,c/cunnibi01.html
1021,Cade Cunningham,2021-22,2025-26,198.0,99.0,2001-09-25,24.0,Texas,Point Guard and Shooting Guard,Right,Oklahoma State,5,2021.0,1.0,1.0,Detroit Pistons,c/cunnica01.html
1022,Dante Cunningham,2009-10,2018-19,203.0,104.0,1987-04-22,39.0,Maryland,Power Forward and Small Forward,Right,Villanova,10,2009.0,2.0,3.0,Portland Trail Blazers,c/cunnida01.html
1023,Dick Cunningham,1968-69,1974-75,208.0,111.0,1946-07-11,80.0,Ohio,Center,Right,Murray State,7,1968.0,2.0,7.0,Phoenix Suns,c/cunnidi01.html
1024,Jared Cunningham,2012-13,2015-16,193.0,88.0,1991-05-22,35.0,California,Shooting Guard,Right,Oregon State,4,2012.0,1.0,24.0,Cleveland Cavaliers,c/cunnija01.html
1025,William Cunningham,1997-98,1998-99,211.0,113.0,1974-03-25,52.0,Georgia,Center,Right,Temple,2,,,,,c/cunniwi01.html
1026,Radisav Ćurčić,1992-93,1992-93,208.0,124.0,1965-09-26,60.0,Serbia,Center,Right,,1,,,,,c/curcira01.html
1028,Earl Cureton,1980-81,1996-97,206.0,95.0,1957-09-03,68.0,Michigan,Center and Power Forward,Right,Robert Morris University (PA),12,1979.0,3.0,14.0,Philadelphia 76ers,c/curetea01.html
1029,Bill Curley,1994-95,2000-01,206.0,99.0,1972-05-29,54.0,Massachusetts,Power Forward and Small Forward,Right,Boston College,5,1994.0,1.0,22.0,San Antonio Spurs,c/curlebi01.html
1030,Fran Curran,1949-50,1949-50,183.0,79.0,1922-09-09,103.0,Illinois,Guard,Right,Notre Dame,1,,,,,c/currafr01.html
1031,Dell Curry,1986-87,2001-02,193.0,86.0,1964-06-25,62.0,Virginia,Shooting Guard,Right,Virginia Tech,16,1986.0,1.0,15.0,Utah Jazz,c/curryde01.html
1032,Eddy Curry,2001-02,2012-13,213.0,133.0,1982-12-05,43.0,Illinois,Center and Power Forward,Right,,11,2001.0,1.0,4.0,Chicago Bulls,c/curryed01.html
1033,JamesOn Curry,2009-10,2009-10,190.0,86.0,1986-01-07,40.0,North Carolina,Point Guard,Right,Oklahoma State,1,2007.0,2.0,21.0,Chicago Bulls,c/curryja01.html
1034,Michael Curry,1993-94,2004-05,196.0,95.0,1968-08-22,57.0,Alabama,Shooting Guard and Small Forward,Right,Georgia Southern University,11,,,,,c/currymi01.html
1035,Seth Curry,2013-14,2025-26,185.0,83.0,1990-08-23,35.0,North Carolina,Shooting Guard and Point Guard,Right,Liberty,12,,,,,c/curryse01.html
1036,Stephen Curry,2009-10,2025-26,188.0,83.0,1988-03-14,38.0,Ohio,Point Guard,Right,Davidson,17,2009.0,1.0,7.0,Golden State Warriors,c/curryst01.html
1037,Rastko Cvetković,1995-96,1995-96,216.0,117.0,1970-06-22,56.0,Serbia,Center,Right,,1,,,,,c/cvetkra01.html
1038,Mike D'Antoni,1973-74,1976-77,190.0,83.0,1951-05-08,75.0,West Virginia,Shooting Guard,Right,Marshall,4,1973.0,2.0,2.0,Kansas City-Omaha Kings,d/dantomi01.html
1039,Tristan Da Silva,2024-25,2025-26,203.0,98.0,2001-05-15,25.0,Germany,Small Forward,Right,Colorado,2,2024.0,1.0,18.0,Orlando Magic,d/dasiltr01.html
1041,Pacôme Dadiet,2024-25,2025-26,206.0,95.0,2005-07-27,20.0,France,Shooting Guard,Right,,2,2024.0,1.0,25.0,New York Knicks,d/dadiepa01.html
1042,Ed Dahler,1951-52,1951-52,196.0,86.0,1926-01-31,100.0,Illinois,Forward,Left,Duquesne,1,1950.0,2.0,3.0,Philadelphia Warriors,d/dahleed01.html
1043,Quintin Dailey,1982-83,1991-92,190.0,81.0,1961-01-22,65.0,Maryland,Shooting Guard,Right,San Francisco,10,1982.0,1.0,7.0,Chicago Bulls,d/dailequ01.html
1044,Samuel Dalembert,2001-02,2014-15,211.0,115.0,1981-05-10,45.0,Haiti,Center,Right,Seton Hall,13,2001.0,1.0,26.0,Philadelphia 76ers,d/dalemsa01.html
1046,Erick Dampier,1996-97,2011-12,211.0,120.0,1975-07-14,51.0,Mississippi,Center,Right,Mississippi State,16,1996.0,1.0,10.0,Indiana Pacers,d/dampier01.html
1047,Louie Dampier,1976-77,1978-79,183.0,77.0,1944-11-20,81.0,Indiana,Point Guard,Right,Kentucky,3,1967.0,4.0,7.0,Cincinnati Royals,d/dampilo01.html
1048,Bob Dandridge,1969-70,1981-82,198.0,88.0,1947-11-15,78.0,Virginia,Small Forward,Right,Norfolk State,13,1969.0,4.0,2.0,Milwaukee Bucks,d/dandrbo01.html
1049,Antonio Daniels,1997-98,2010-11,193.0,88.0,1975-03-19,51.0,Ohio,Point Guard and Shooting Guard,Right,Bowling Green,13,1997.0,1.0,4.0,Vancouver Grizzlies,d/daniean01.html
1050,Dyson Daniels,2022-23,2025-26,201.0,90.0,2003-03-17,23.0,Australia,Point Guard and Shooting Guard,Right,,4,2022.0,1.0,8.0,New Orleans Pelicans,d/daniedy01.html
1051,Erik Daniels,2004-05,2004-05,203.0,97.0,1982-04-01,44.0,Ohio,Small Forward,Left,Kentucky,1,,,,,d/danieer01.html
1052,Lloyd Daniels,1992-93,1997-98,201.0,92.0,1967-09-04,58.0,New York,Shooting Guard,Right,Mount San Antonio College,5,,,,,d/daniell01.html
1053,Marquis Daniels,2003-04,2012-13,198.0,90.0,1981-01-07,45.0,Florida,Shooting Guard and Small Forward,Right,Auburn,10,,,,,d/daniema01.html
1054,Mel Daniels,1976-77,1976-77,206.0,99.0,1944-07-20,81.0,Michigan,Center,Right,"Southeastern Iowa Community College, West Burlington Campus",1,1967.0,1.0,9.0,Cincinnati Royals,d/danieme01.html
1055,Troy Daniels,2013-14,2019-20,193.0,90.0,1991-07-15,35.0,Virginia,Shooting Guard,Right,VCU,7,,,,,d/danietr01.html
1056,Sasha Danilović,1995-96,1996-97,196.0,90.0,1970-02-26,56.0,Bosnia and Herzegovina,Shooting Guard,Right,,2,1992.0,2.0,16.0,Golden State Warriors,d/danilsa01.html
1057,N'Faly Dante,2024-25,2025-26,211.0,104.0,2001-10-19,24.0,Mali,Center,Right,Oregon,2,,,,,n/nfalyda01.html
1058,Adrian Dantley,1976-77,1990-91,196.0,94.0,1955-02-28,71.0,District of Columbia,Small Forward,Right,Notre Dame,15,1976.0,1.0,6.0,Buffalo Braves,d/dantlad01.html
1059,Pete Darcey,1952-53,1952-53,201.0,98.0,1930-03-03,96.0,Oklahoma,Center,Right,Oklahoma State,1,,,,,d/darcepe01.html
1060,Jimmy Darden,1949-50,1949-50,185.0,77.0,1922-06-19,104.0,Wyoming,Guard,Right,Denver,1,1947.0,3.0,,Chicago Stags,d/dardeji01.html
1062,Yinka Dare,1994-95,1997-98,213.0,120.0,1972-10-10,53.0,Nigeria,Center,Right,George Washington,4,1994.0,1.0,14.0,New Jersey Nets,d/dareyi01.html
1063,Jesse Dark,1974-75,1974-75,196.0,95.0,1951-09-02,74.0,Virginia,Shooting Guard,Right,VCU,1,1974.0,2.0,14.0,New York Knicks,d/darkje01.html
1064,Nate Darling,2020-21,2020-21,196.0,90.0,1998-08-30,27.0,Nova Scotia,Shooting Guard,Right,UAB,1,,,,,d/darlina01.html
1066,Jimmy Darrow,1961-62,1961-62,178.0,77.0,1937-09-25,88.0,Ohio,Guard,Right,Bowling Green,1,1960.0,5.0,6.0,St. Louis Hawks,d/darroji01.html
1067,Gigi Datome,2013-14,2014-15,203.0,97.0,1987-11-27,38.0,Italy,Small Forward,Right,,2,,,,,d/datomlu01.html
1068,Brad Daugherty,1986-87,1993-94,213.0,111.0,1965-10-19,60.0,North Carolina,Center,Right,UNC,8,1986.0,1.0,1.0,Cleveland Cavaliers,d/daughbr01.html
1070,Kornél Dávid,1998-99,2000-01,206.0,106.0,1971-10-22,54.0,Hungary,Small Forward,Right,,3,,,,,d/davidko01.html
1071,Jermareo Davidson,2007-08,2008-09,208.0,104.0,1984-11-15,41.0,Georgia,Small Forward,Right,Alabama,2,2007.0,2.0,6.0,Golden State Warriors,d/davidje01.html
1072,Bob Davies,1949-50,1954-55,185.0,79.0,1920-01-15,106.0,Pennsylvania,Point Guard,Right,Seton Hall,6,,,,,d/daviebo01.html
1073,Brandon Davies,2013-14,2014-15,208.0,108.0,1991-07-25,34.0,Pennsylvania,Power Forward,Right,BYU,2,,,,,d/daviebr01.html
1074,Anthony Davis,2012-13,2025-26,208.0,114.0,1993-03-11,33.0,Illinois,Power Forward and Center,Right,Kentucky,14,2012.0,1.0,1.0,New Orleans Hornets,d/davisan02.html
1075,Antonio Davis,1993-94,2005-06,206.0,97.0,1968-10-31,57.0,California,Power Forward and Center,Right,Texas-El Paso,13,1990.0,2.0,18.0,Indiana Pacers,d/davisan01.html
1077,Baron Davis,1999-00,2011-12,190.0,94.0,1979-04-13,47.0,California,Point Guard,Right,UCLA,13,1999.0,1.0,3.0,Charlotte Hornets,d/davisba01.html
1078,Ben Davis,1996-97,1999-00,206.0,108.0,1972-12-26,53.0,Florida,Power Forward,Right,Kansas,4,1996.0,2.0,14.0,Phoenix Suns,d/davisbe01.html
1080,Bob Davis,1972-73,1972-73,201.0,97.0,1950-04-02,76.0,United States,Small Forward,Right,Weber State,1,1972.0,2.0,1.0,Portland Trail Blazers,d/davisbo01.html
1081,Brad Davis,1977-78,1991-92,190.0,81.0,1955-12-17,70.0,Pennsylvania,Point Guard,Right,Maryland,15,1977.0,1.0,15.0,Los Angeles Lakers,d/davisbr01.html
1082,Brian Davis,1993-94,1993-94,201.0,90.0,1970-06-21,56.0,New Jersey,Small Forward,Right,Duke,1,1992.0,2.0,21.0,Phoenix Suns,d/davisbr02.html
1083,Charles Davis,1981-82,1989-90,201.0,97.0,1958-10-05,67.0,Tennessee,Small Forward,Right,Vanderbilt,8,1981.0,2.0,12.0,Washington Bullets,d/davisch02.html
1084,Charlie Davis,1971-72,1973-74,188.0,72.0,1949-09-07,76.0,New York,Shooting Guard,Right,Wake Forest,3,1971.0,8.0,1.0,Cleveland Cavaliers,d/davisch01.html
1085,Dale Davis,1991-92,2006-07,211.0,104.0,1969-03-25,57.0,Georgia,Center and Power Forward,Right,Clemson,16,1991.0,1.0,13.0,Indiana Pacers,d/davisda01.html
1086,Deyonta Davis,2016-17,2018-19,206.0,107.0,1996-12-02,29.0,Michigan,Center,Right,Michigan State,3,2016.0,2.0,1.0,Boston Celtics,d/davisde01.html
1087,Dwight Davis,1972-73,1976-77,203.0,99.0,1949-10-28,76.0,Texas,Power Forward,Right,Houston,5,1972.0,1.0,3.0,Cleveland Cavaliers,d/davisdw01.html
1088,Ed Davis,2010-11,2021-22,206.0,98.0,1989-06-05,37.0,District of Columbia,Power Forward and Center,Left,UNC,12,2010.0,1.0,13.0,Toronto Raptors,d/davised01.html
1089,Emanual Davis,1996-97,2002-03,193.0,88.0,1968-08-27,57.0,Pennsylvania,Point Guard and Shooting Guard,Right,Delaware State University,6,,,,,d/davisem01.html
1090,Glen Davis,2007-08,2014-15,206.0,131.0,1986-01-01,40.0,Louisiana,Power Forward and Center,Right,LSU,8,2007.0,2.0,5.0,Seattle SuperSonics,d/davisgl01.html
1091,Harry Davis,1978-79,1979-80,201.0,99.0,1956-01-27,70.0,Ohio,Small Forward,Right,Florida State,2,1978.0,2.0,11.0,Cleveland Cavaliers,d/davisha01.html
1092,Hubert Davis,1992-93,2003-04,196.0,83.0,1970-05-17,56.0,North Carolina,Shooting Guard and Point Guard,Right,UNC,12,1992.0,1.0,20.0,New York Knicks,d/davishu01.html
1093,Jim Davis,1967-68,1974-75,206.0,102.0,1941-12-18,84.0,Indiana,Center,Right,Colorado,8,1964.0,4.0,2.0,Detroit Pistons,d/davisji01.html
1094,Johnny Davis,1976-77,1985-86,188.0,77.0,1955-10-21,70.0,Michigan,Shooting Guard and Point Guard,Right,Dayton,10,1976.0,2.0,5.0,Portland Trail Blazers,d/davisjo01.html
1095,Johnny Davis,2022-23,2024-25,193.0,88.0,2002-02-27,24.0,Wisconsin,Shooting Guard,Right,Wisconsin,3,2022.0,1.0,10.0,Washington Wizards,d/davisjo06.html
1096,Josh Davis,2003-04,2011-12,203.0,106.0,1980-08-10,45.0,Oregon,Power Forward,Right,Wyoming,4,,,,,d/davisjo02.html
1098,Mark Davis,1988-89,1988-89,198.0,88.0,1963-06-08,63.0,Virginia,Small Forward,Right,Old Dominion,1,1985.0,4.0,9.0,Cleveland Cavaliers,d/davisma01.html
1099,Mark Davis,1995-96,1999-00,201.0,95.0,1973-04-26,53.0,Louisiana,Small Forward,Right,Howard College,5,1995.0,2.0,19.0,Minnesota Timberwolves,d/davisma02.html
1100,Mel Davis,1973-74,1976-77,198.0,99.0,1950-11-09,75.0,New York,Power Forward,Right,St. John's,4,1973.0,1.0,14.0,New York Knicks,d/davisme01.html
1101,Mickey Davis,1972-73,1976-77,201.0,88.0,1950-06-16,76.0,Pennsylvania,Small Forward,Right,Duquesne,5,1972.0,7.0,16.0,Milwaukee Bucks,d/davismi02.html
1102,Mike Davis,1969-70,1972-73,190.0,83.0,1946-07-26,79.0,New York,Shooting Guard,Right,Virginia Union University,4,1969.0,1.0,14.0,Baltimore Bullets,d/davismi01.html
1103,Mike Davis,1982-83,1982-83,208.0,104.0,1956-08-02,69.0,Florida,Power Forward,Right,Maryland,1,,,,,d/davismi03.html
1104,Monti Davis,1980-81,1980-81,201.0,92.0,1958-07-26,67.0,Ohio,Power Forward,Right,Tennessee State,1,1980.0,1.0,21.0,Philadelphia 76ers,d/davismo01.html
1105,Paul Davis,2006-07,2009-10,211.0,122.0,1984-07-21,41.0,Michigan,Power Forward and Center,Right,Michigan State,4,2006.0,2.0,4.0,Los Angeles Clippers,d/davispa01.html
1106,Ralph Davis,1960-61,1961-62,193.0,81.0,1938-09-07,87.0,Kentucky,Shooting Guard,Right,Cincinnati,2,1960.0,3.0,1.0,Cincinnati Royals,d/davisra01.html
1107,Red Davis,1955-56,1955-56,201.0,99.0,1932-04-22,94.0,United States,Center,Right,St. John's,1,1954.0,6.0,7.0,Rochester Royals,d/davisre01.html
1108,Ricky Davis,1998-99,2009-10,198.0,88.0,1979-09-23,46.0,Nevada,Shooting Guard and Small Forward,Right,Iowa,12,1998.0,1.0,21.0,Charlotte Hornets,d/davisri01.html
1109,Ron Davis,1976-77,1981-82,198.0,89.0,1954-05-01,72.0,Arizona,Small Forward,Right,Washington State,3,1976.0,5.0,2.0,Atlanta Hawks,d/davisro01.html
1110,Terence Davis,2019-20,2024-25,193.0,91.0,1997-05-16,29.0,Mississippi,Shooting Guard,Right,Ole Miss,5,,,,,d/daviste02.html
1111,Terry Davis,1989-90,2000-01,206.0,102.0,1967-06-17,59.0,Virginia,Power Forward and Center,Left,Virginia Union University,10,,,,,d/daviste01.html
1112,Tyler Davis,2018-19,2018-19,208.0,120.0,1997-05-22,29.0,California,Center,Right,Texas A&M,1,,,,,d/davisty01.html
1113,Walt Davis,1953-54,1957-58,203.0,92.0,1931-01-05,95.0,Texas,Power Forward and Center,Right,Texas A&M,5,1952.0,2.0,,Philadelphia Warriors,d/daviswa01.html
1114,Walter Davis,1977-78,1991-92,198.0,87.0,1954-09-09,71.0,North Carolina,Shooting Guard and Small Forward,Right,UNC,15,1977.0,1.0,5.0,Phoenix Suns,d/daviswa03.html
1117,JD Davison,2022-23,2025-26,185.0,88.0,2002-10-03,23.0,Alabama,Point Guard and Shooting Guard,Right,Alabama,4,2022.0,2.0,23.0,Boston Celtics,d/davisjd01.html
1118,Andre Dawkins,2014-15,2014-15,196.0,97.0,1991-09-19,34.0,Virginia,Shooting Guard,Right,Duke,1,,,,,d/dawkian01.html
1119,Darryl Dawkins,1975-76,1988-89,211.0,113.0,1957-01-11,69.0,Florida,Center,Right,,14,1975.0,1.0,5.0,Philadelphia 76ers,d/dawkida01.html
1120,Johnny Dawkins,1986-87,1994-95,188.0,74.0,1963-09-28,62.0,District of Columbia,Point Guard,Left,Duke,9,1986.0,1.0,10.0,San Antonio Spurs,d/dawkijo01.html
1121,Paul Dawkins,1979-80,1979-80,196.0,86.0,1957-06-10,69.0,Michigan,Small Forward,Right,Northern Illinois,1,1979.0,10.0,1.0,Utah Jazz,d/dawkipa01.html
